Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
Jonathan Isaac,26,ORL,PF,7,3,21.0,2.3,5.6,.410,1.4,3.9,.370,0.9,1.7,.500,.538,0.3,0.3,1.000,1.4,3.4,4.9,0.4,0.7,1.3,0.6,1.0,6.3,
Larry Nance Jr.,31,NOP,C,4,0,21.0,2.5,4.3,.588,0.3,1.0,.250,2.3,3.3,.692,.618,1.0,1.5,.667,3.8,4.5,8.3,1.8,0.5,0.0,1.8,2.3,6.3,
Moritz Wagner,26,ORL,C,7,0,15.0,2.3,5.1,.444,0.3,1.3,.222,2.0,3.9,.519,.472,1.4,2.4,.588,1.6,2.9,4.4,0.3,0.9,0.4,1.1,3.0,6.3,
Russell Westbrook,35,LAC,PG,6,0,19.0,2.2,8.3,.260,0.7,2.8,.235,1.5,5.5,.273,.300,1.3,2.2,.615,1.0,3.2,4.2,1.7,1.2,0.5,1.7,1.8,6.3,
Aaron Wiggins,25,OKC,SG,10,0,15.7,2.3,4.7,.489,0.6,2.0,.300,1.7,2.7,.630,.553,1.0,1.1,.909,0.9,2.3,3.2,1.0,0.6,0.3,0.9,0.8,6.2,
Marcus Morris,34,CLE,PF,9,1,15.3,2.4,5.3,.458,1.0,2.6,.391,1.4,2.8,.520,.552,0.2,0.3,.667,0.2,2.6,2.8,0.3,0.4,0.0,0.3,0.9,6.1,
Bojan Bogdanović,34,NYK,SF,4,0,12.8,1.8,6.0,.292,1.5,3.8,.400,0.3,2.3,.111,.417,1.0,1.8,.571,0.3,2.8,3.0,1.0,0.0,0.3,0.3,0.8,6.0,
Thomas Bryant,26,MIA,C,2,0,9.0,2.5,3.5,.714,0.0,1.0,.000,2.5,2.5,1.000,.714,1.0,1.5,.667,1.0,1.5,2.5,0.5,0.0,0.0,1.0,0.5,6.0,
Patty Mills,35,MIA,PG,3,0,17.3,2.0,5.7,.353,1.0,3.7,.273,1.0,2.0,.500,.441,1.0,1.3,.750,0.3,0.0,0.3,1.0,0.3,0.0,0.3,0.7,6.0,
Drew Eubanks,26,PHO,C,3,0,12.3,2.3,4.0,.583,0.0,0.0,,2.3,4.0,.583,.583,1.0,1.0,1.000,0.0,1.3,1.3,0.0,0.7,0.3,0.7,2.0,5.7,
Cameron Payne,29,PHI,PG,5,0,12.2,2.0,5.0,.400,1.6,3.6,.444,0.4,1.4,.286,.560,0.0,0.0,,0.0,1.2,1.2,1.4,0.2,0.8,0.6,2.0,5.6,
Buddy Hield,31,PHI,SG,4,0,12.8,1.8,4.3,.412,1.5,3.3,.462,0.3,1.0,.250,.588,0.5,0.5,1.000,0.5,0.8,1.3,0.5,0.0,0.3,0.5,1.0,5.5,
Isaac Okoro,23,CLE,SF,12,7,21.9,2.1,5.8,.357,0.8,2.9,.257,1.3,2.9,.457,.421,0.6,0.8,.778,0.4,1.3,1.8,1.1,0.9,0.3,0.9,2.5,5.5,
P.J. Tucker,38,LAC,PF,2,1,15.5,2.0,3.0,.667,1.5,2.0,.750,0.5,1.0,.500,.917,0.0,0.0,,1.5,0.0,1.5,0.0,0.0,0.0,1.5,3.0,5.5,
Sam Hauser,26,BOS,SF,19,0,14.9,1.9,4.4,.429,1.4,3.7,.380,0.5,0.7,.692,.589,0.2,0.2,1.000,0.4,1.7,2.2,0.6,0.3,0.2,0.2,1.1,5.4,
Precious Achiuwa,24,NYK,PF,9,2,20.4,2.3,4.8,.488,0.0,0.3,.000,2.3,4.4,.525,.488,0.6,1.4,.385,2.4,1.8,4.2,0.6,0.4,1.3,0.4,2.2,5.2,
Ben Sheppard,22,IND,SG,17,2,19.7,1.8,4.2,.437,1.1,2.9,.380,0.7,1.2,.571,.570,0.4,0.5,.778,0.6,2.4,3.0,1.0,0.5,0.1,0.6,1.9,5.2,
Cole Anthony,23,ORL,PG,7,0,14.7,1.9,5.9,.317,0.3,1.9,.154,1.6,4.0,.393,.341,1.1,1.3,.889,0.3,1.9,2.1,1.3,0.6,0.1,0.7,2.3,5.1,
Christian Braun,22,DEN,SG,12,0,17.0,1.9,4.5,.426,0.3,1.5,.222,1.6,3.0,.528,.463,0.9,1.3,.688,0.8,1.9,2.7,0.8,0.2,0.4,0.1,1.5,5.1,
Josh Green,23,DAL,SG,22,0,18.1,1.6,3.9,.424,1.0,2.7,.390,0.6,1.2,.500,.559,0.6,0.9,.737,1.0,1.6,2.5,1.0,0.8,0.1,0.3,1.3,5.0,
Royce O'Neale,30,PHO,SF,4,2,26.0,1.8,5.5,.318,1.5,4.5,.333,0.3,1.0,.250,.455,0.0,0.0,,1.3,3.5,4.8,1.0,0.3,0.0,0.5,2.8,5.0,
Haywood Highsmith,27,MIA,PF,5,0,25.2,2.0,5.6,.357,0.6,3.2,.188,1.4,2.4,.583,.411,0.2,0.2,1.000,0.4,2.4,2.8,1.6,0.2,0.2,0.8,2.8,4.8,
Pat Connaughton,31,MIL,SF,6,0,20.7,1.8,4.2,.440,0.5,1.8,.273,1.3,2.3,.571,.500,0.3,0.3,1.000,0.5,3.3,3.8,2.2,1.0,0.2,0.5,1.0,4.5,
Tim Hardaway Jr.,31,DAL,SF,14,0,12.7,1.6,4.1,.379,0.9,2.6,.351,0.6,1.5,.429,.491,0.3,0.6,.500,0.1,1.6,1.8,0.4,0.4,0.1,0.1,0.7,4.4,
Jaylin Williams,21,OKC,C,10,0,12.7,1.6,3.3,.485,0.9,2.2,.409,0.7,1.1,.636,.621,0.3,0.4,.750,0.4,2.8,3.2,1.5,0.4,0.3,0.3,1.1,4.4,
Kyle Anderson,30,MIN,PF,15,1,15.4,1.7,3.8,.456,0.1,0.5,.250,1.6,3.3,.490,.474,0.7,0.8,.833,1.2,1.5,2.7,2.5,0.7,0.3,0.7,1.7,4.3,
Jaden Hardy,21,DAL,SG,19,0,6.8,1.5,3.6,.426,0.6,1.4,.407,0.9,2.2,.439,.507,0.6,0.8,.733,0.1,0.7,0.8,0.9,0.2,0.0,0.4,0.7,4.2,
Gary Harris,29,ORL,SG,6,6,26.5,1.3,4.7,.286,1.2,3.7,.318,0.2,1.0,.167,.411,0.3,0.3,1.000,0.8,1.2,2.0,0.7,1.2,0.5,0.3,3.0,4.2,
Cason Wallace,20,OKC,SG,10,0,19.8,1.6,4.1,.390,0.9,2.8,.321,0.7,1.3,.538,.500,0.1,0.2,.500,0.7,0.6,1.3,1.0,0.9,0.2,0.4,1.4,4.2,
Luka Garza,25,MIN,C,7,0,3.7,1.4,1.7,.833,0.3,0.4,.667,1.1,1.3,.889,.917,1.0,1.1,.875,0.3,0.6,0.9,0.1,0.0,0.0,0.0,0.0,4.1,
Isaiah Jackson,22,IND,C,15,0,10.3,1.5,2.9,.535,0.0,0.0,,1.5,2.9,.535,.535,0.7,1.2,.611,1.4,1.8,3.2,0.5,0.2,0.9,0.3,1.6,3.8,
Danilo Gallinari,35,MIL,SF,3,0,12.3,1.3,2.7,.500,0.0,0.7,.000,1.3,2.0,.667,.500,1.0,1.3,.750,0.3,2.7,3.0,0.7,0.0,0.0,0.3,0.0,3.7,
Bones Hyland,23,LAC,PG,3,0,4.0,1.0,2.3,.429,0.3,1.7,.200,0.7,0.7,1.000,.500,1.3,1.3,1.000,0.0,0.7,0.7,1.3,0.0,0.0,0.3,0.0,3.7,
Maxi Kleber,32,DAL,C,13,0,16.8,1.2,3.0,.410,0.9,2.2,.429,0.3,0.8,.364,.564,0.3,0.5,.667,0.3,1.6,1.9,1.0,0.2,0.3,0.4,1.5,3.7,
Dean Wade,27,CLE,PF,3,1,21.0,1.3,4.3,.308,1.0,3.3,.300,0.3,1.0,.333,.423,0.0,0.0,,0.3,1.7,2.0,1.7,0.3,0.7,0.7,1.3,3.7,
Grayson Allen,28,PHO,SG,2,2,21.5,0.5,2.5,.200,0.5,2.5,.200,0.0,0.0,,.300,2.0,2.0,1.000,1.0,3.0,4.0,1.0,0.5,0.0,1.5,2.0,3.5,
Reggie Jackson,33,DEN,PG,12,0,9.8,1.3,4.0,.333,0.7,1.9,.348,0.7,2.1,.320,.417,0.2,0.2,1.000,0.2,1.1,1.3,1.0,0.2,0.1,0.7,1.0,3.5,
